Method,RMSEMean,MAEMean,RMSETestsetAccuracy,sumOfPrecisions,sumOfRecalls
Scale,0.6136686981665378,0.5627226770138275,0.5556569357823473,1,0.5
Compare,0.46255169463095047,0.3634906737662678,0.35679752172267143,1,0.5
Scale,0.6332372240858573,0.5639830039591717,0.5190112971534496,1,0.3
Compare,0.44632121262456453,0.37048318397099633,0.3604070926996188,1,0.5
Scale,0.6373733427457552,0.5724559487879859,0.49911119719698693,1,0.375
Compare,0.4379171563939278,0.35108881291703625,0.34291146743018014,1,0.375
Scale,0.616527459304689,0.5527241212365888,0.4904194672371361,1,0.375
Compare,0.4264337380172581,0.3527403773460101,0.39695020622746846,1,0.375
Scale,0.6189336173969198,0.5488902607864823,0.5072097854306454,1,0.375
Compare,0.42334187076634794,0.3529013296327623,0.35480393117155834,1,0.375
Scale,0.6923839506026035,0.5985749049914411,0.5753404425877656,1,0.19444444444444442
Compare,0.6402772972375694,0.46802709562560063,0.4971160517529582,1,0.19444444444444442
Scale,0.716035144892831,0.6164865326622708,0.5423080950668349,1,0.19444444444444442
Compare,0.5862930812867003,0.46213051407957517,0.5885701466490959,1,0.19444444444444442
Scale,0.7605748084383541,0.6537127695950253,0.6150030303644279,1,0.13541666666666666
Compare,0.7044146395876764,0.5152944470868693,0.5922205694912163,1,0.13541666666666666
Scale,0.7764928822919887,0.6766496702739007,0.6188478454356826,1,0.13541666666666666
Compare,0.7153174188897246,0.5371833039353457,0.5990035887996358,1,0.13541666666666666
Scale,0.821068248450875,0.705706728482578,0.6670796415510492,1,0.085
Compare,0.7410927529709875,0.5979731359446931,0.6261890030323857,1,0.10500000000000001
Scale,0.840450343425411,0.7243054946302844,0.6548167838871191,1,0.085
Compare,0.7295243148562415,0.5543218284409127,0.6044688809038505,1,0.10500000000000001
Scale,0.7887491401187315,0.6848786419155771,0.6291650797316622,1,0.06111111111111111
Compare,0.7582275434793481,0.6004251646336074,0.5961591471704971,1,0.0861111111111111
Scale,0.8151754902323507,0.706162984602076,0.6625229932508181,1,0.07222222222222222
Compare,0.7476492139143404,0.5756158531113215,0.5761023640367102,1,0.0861111111111111
Scale,0.8387583631252422,0.7312079366004223,0.6606634921825962,0.2857142857142857,1
Compare,0.8146272504002383,0.6520379353740668,0.696158077127063,1,0.07312925170068027
Scale,0.8697317356896288,0.7450047200515135,0.6897026913259298,0.2857142857142857,1
Compare,0.8342195524148996,0.6672034485664857,0.6535707034386803,1,0.07312925170068027
Scale,0.898694055654661,0.7620592475637975,0.7091646303090189,0.42857142857142855,1
Compare,0.9254646521706075,0.7224495957657886,0.7236421349376893,1,0.04795918367346939
Scale,0.9093578145363697,0.7615157777420276,0.6965009756082852,0.14285714285714285,1
Compare,0.9034269878984841,0.7132775300833487,0.702254879297846,1,0.04770408163265306
Scale,0.9072358152706672,0.7623621399595203,0.7343508983093547,0.375,1
Compare,0.983747897399355,0.7690689239467676,0.7407713089528195,0.5,1
Scale,0.9482206090869294,0.7989361597490212,0.7370032614193005,0.125,1
Compare,0.9647379410926566,0.7720383075112848,0.751637262544809,0.375,1
Scale,0.9869467151736441,0.8312794991104395,0.7323941075459162,0.4444444444444444,1
Compare,1.013450587765504,0.8016950649912833,0.8030369087133081,0.3333333333333333,1
Scale,0.9743783843260576,0.8036180412382935,0.7326474495167711,0.4444444444444444,1
Compare,1.0171083050729763,0.8057764601720392,0.7790591833895681,0.1111111111111111,1
Scale,0.914171239824989,0.7497043382707846,0.7178498458327267,0.4,1
Compare,0.9886494714721408,0.7765009450428052,0.7660585333655094,0.3,1
Scale,0.9403228967794938,0.7752169131380533,0.7175917946730592,0.6,1
Compare,0.9805441767353621,0.7783596242827386,0.773392948456611,0.4,1
Scale,0.9508438933567831,0.7752017056109369,0.7108024205386697,0.5454545454545454,1
Compare,1.0057272873052419,0.8025770475792017,0.7452351402404822,0.6363636363636364,1
Scale,0.9268097916363317,0.7610652400484783,0.7506166116895793,0.36363636363636365,1
Compare,0.9991144018065778,0.7912206696264958,0.7619592750974719,0.2727272727272727,1
Scale,0.9260088594444216,0.7499659734322501,0.7372942016438511,0.5454545454545454,1
Compare,0.9719577525985473,0.7713159780249379,0.7791957585321737,0.36363636363636365,1
Scale,0.9823397155667065,0.7908448890877852,0.7580303078779057,0.5833333333333334,1
Compare,1.0113947129252618,0.8191703687628239,0.7648688809931956,0.5,1
Scale,1.0141475586073165,0.8172639510460021,0.7893011613819811,0.5833333333333334,1
Compare,1.0185979352938173,0.8172873109587713,0.7914745974437657,0.5,1
Scale,1.066446779024604,0.8514341257926772,0.8297077727686976,0.38461538461538464,1
Compare,1.0342066507819077,0.8414243062574908,0.7949210293827389,0.6923076923076923,1
Scale,1.0499036363091783,0.8455289743652454,0.8125953121046748,0.5384615384615384,1
Compare,1.0459921794572429,0.8466556663294538,0.8306887446633938,0.46153846153846156,1
Scale,1.1053633968270205,0.8779379481243792,0.8163311495041007,0.42857142857142855,1
Compare,1.09187155077187,0.8815662175253175,0.8587568180750353,0.5,1
Scale,1.060566022135466,0.8470842864115344,0.8195879082203542,0.42857142857142855,1
Compare,1.1159041988190466,0.9050623600845735,0.8475982269919192,0.35714285714285715,1
Scale,1.1169543029052356,0.9140930752480457,0.8747562905386701,0.6428571428571429,1
Compare,1.1135878414935043,0.928361135258063,0.8294457243642126,0.35714285714285715,1
Scale,1.1264773966582475,0.9281827196730209,0.8885369477688041,0.5714285714285714,1
Compare,1.1100579580609786,0.914584933712292,0.8357975439076335,0.5,1
Scale,1.131005472927607,0.9201112342392783,0.8485934436705741,0.5333333333333333,1
Compare,1.1167204683296064,0.9245591646019241,0.8754031884758373,0.5333333333333333,1
Scale,1.1401550688392394,0.9286496658817383,0.8628353578509411,0.6666666666666666,1
Compare,1.123360421360831,0.9232288530630429,0.8870806700953088,0.4666666666666667,1
Scale,1.139230822613981,0.9168342282724172,0.8734097570318022,0.6875,1
Compare,1.0862762032415714,0.9054331934346408,0.8854264366177313,0.5,1
Scale,1.125098198856803,0.9101635394215519,0.8735488272772289,0.625,1
Compare,1.1314945337164382,0.9377148152525395,0.8799460745124926,0.625,1
Scale,1.1223204263586726,0.9106056757637282,0.8759664923655119,0.5882352941176471,1
Compare,1.0857926500171344,0.8903398556844275,0.8539801039332459,0.4117647058823529,1
Scale,1.1246118600594694,0.915230423813018,0.8714208136612523,0.6470588235294118,1
Compare,1.1058928660356577,0.9102875847771876,0.8637361562894332,0.47058823529411764,1
Scale,1.1322666444051133,0.9241387043562017,0.8598758065323193,0.5,1
Compare,1.102021446957035,0.9168653780211544,0.8464745106077484,0.4444444444444444,1
Scale,1.1180706565637994,0.9188461513044576,0.8371346653381384,0.5555555555555556,1
Compare,1.0830915449980352,0.9016551612774322,0.8301597977901,0.5,1
Scale,1.116771850432789,0.909935148341863,0.8585757103838259,0.5263157894736842,1
Compare,1.0911135200429893,0.8870591498510269,0.8380822407171283,0.3157894736842105,1
Scale,1.1106417277813658,0.9074675563649237,0.8602346192617907,0.47368421052631576,1
Compare,1.0718859860401173,0.8809811225767354,0.8308037605496957,0.3157894736842105,1
Scale,1.1268328132395333,0.9119943751968027,0.8857974437006481,0.55,1
Compare,1.076710108564662,0.8805355144719726,0.819491305528303,0.35,1
Scale,1.1233403557128694,0.9120372420149832,0.8570975582075147,0.55,1
Compare,1.055244714878195,0.8603541405722843,0.8328412537744084,0.3,1
Scale,1.1457879705277065,0.9297861898291824,0.8644579110302166,0.47619047619047616,1
Compare,1.034482381013166,0.8488257333070909,0.7961319789126688,0.42857142857142855,1
Scale,1.155843527587907,0.9347917873256808,0.8895237394879427,0.42857142857142855,1
Compare,1.061471551039571,0.877352881434318,0.8187847187777406,0.47619047619047616,1
Scale,1.1287587256814562,0.9178561028869552,0.8861328568451428,0.5454545454545454,1
Compare,1.0517133691610105,0.8615427136388316,0.7837970767704648,0.45454545454545453,1
Scale,1.161265999437275,0.9368094682589158,0.8845692912553896,0.6818181818181818,1
Compare,1.0461803396272606,0.8546107509386733,0.8215201311325575,0.4090909090909091,1
Scale,1.1209116502274508,0.9016154732623152,0.8549489168741036,0.5652173913043478,1
Compare,1.0296362155762018,0.8439683174877348,0.7959507765394814,0.43478260869565216,1
Scale,1.1286472837113102,0.9166493399325868,0.8638320867874026,0.5652173913043478,1
Compare,1.0398222457656912,0.8386695615447067,0.7889974878999566,0.43478260869565216,1
Scale,1.0968370905792661,0.8831698747751376,0.8543800355023271,0.5416666666666666,1
Compare,1.0285163042626455,0.841585795777581,0.7888030351439492,0.25,1
Scale,1.0862205781113465,0.8834655690523325,0.868401378483709,0.5,1
Compare,1.0221347234528015,0.829922458245816,0.7805470921675965,0.375,1
Scale,1.0982496690013248,0.8875632711671001,0.8350866813041191,0.48,1
Compare,1.0264104820746256,0.8385835442145669,0.7837512590209212,0.4,1
Scale,1.1092154647829104,0.8981111296687144,0.8595885389877225,0.56,1
Compare,1.036025100367255,0.8460101558335718,0.8011953559134354,0.4,1
Scale,1.0813440162125434,0.8779526553929525,0.844109158060802,0.5,1
Compare,1.0373715594405124,0.854479612872729,0.773635498624183,0.5384615384615384,1
Scale,1.115017383798693,0.9053080974432888,0.8534367861772597,0.5769230769230769,1
Compare,1.044782644393304,0.8535672838221634,0.8168274446142216,0.46153846153846156,1
Scale,1.0809380899574628,0.8827907640303607,0.8562818645894262,0.4230769230769231,1
Compare,1.020814584771012,0.8371658081560425,0.7807839793122565,0.5,1
Scale,1.113196432660516,0.9076339376598425,0.8593511768283182,0.38461538461538464,1
Compare,1.0294700513335897,0.8415956314045584,0.7797829847600944,0.46153846153846156,1
